gen: 153, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 154, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 155, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 156, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 157, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 158, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 159, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 160, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 161, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 162, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 163, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 164, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 165, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 166, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 167, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 168, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 169, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 170, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 171, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 172, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 173, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 174, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 175, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 176, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 177, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 178, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 179, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 180, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 181, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 182, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 183, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 184, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 185, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 186, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 187, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 188, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 189, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 190, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 191, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 192, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 193, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 194, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 195, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 196, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 197, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 198, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 199, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 200, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 201, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 202, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 203, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 204, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 205, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 206, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 207, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 208, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 209, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 210, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 211, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 212, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 213, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 214, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 215, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 216, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 217, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 218, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 219, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 220, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 221, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 222, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 223, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 224, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 225, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 226, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 227, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 228, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 229, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 230, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 231, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 232, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 233, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 234, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 235, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 236, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 237, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 238, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 239, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 240, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 241, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 242, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 243, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 244, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 245, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 246, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 247, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 248, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 249, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 250, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 251, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 252, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 253, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 254, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 255, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 256, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 257, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 258, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 259, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 260, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
