constructing 9 ConvTransformerEncoderLayers
gen: 312, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 313, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 314, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 315, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 316, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 317, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 318, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 319, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 320, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 321, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 322, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 323, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 324, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 325, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 326, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 327, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 328, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 329, avg: -15.53765691423416, std: 0.009556944451538731
gen: 330, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 331, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 332, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 333, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 334, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 335, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 336, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 337, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 338, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 339, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 340, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 341, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 342, avg: -15.537994318008423, std: 0.02464232730076834
gen: 343, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 344, avg: -15.537536700248719, std: 0.004182155554234392
gen: 345, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 346, avg: -15.537687319755554, std: 0.010916380740304352
